"","State.diff","State.lwr","State.upr","State.p.adj"
"WA-CO",0.209447971486057,-0.386303162389046,0.80519910536116,0.999999959682627
"WV-CO",-3.77494706438576,-4.58529116735255,-2.96460296141896,0
"WY-CO",0.695063460784851,-0.722899699246941,2.11302662081664,0.999412639702034
"DC-CT",-3.69352606525739,-4.94600744223721,-2.44104468827756,0
"DE-CT",-2.30746545919389,-3.47054921205989,-1.1443817063279,3.91675580857509e-12
"FL-CT",-1.72652447035649,-2.30086124999191,-1.15218769072108,0
"GA-CT",-3.48657959946981,-4.11391188184886,-2.85924731709076,0
"HI-CT",1.21348876389072,0.198036925298976,2.22894060248247,0.00196057105057801
"IA-CT",-1.03762039197642,-1.7731049685787,-0.302135815374136,2.18045806656963e-05
"ID-CT",-1.01574051746847,-2.02595808506097,-0.0055229498759779,0.0462461663922225
"IL-CT",-1.93593722723296,-2.52438813921846,-1.34748631524745,0
"IN-CT",-3.3359162876458,-3.98490701987463,-2.68692555541697,0
"KS-CT",-2.05050582132078,-2.80464658747327,-1.29636505516829,4.71622740860766e-13
"KY-CT",-4.53700293926353,-5.22809997631873,-3.84590590220833,0
"LA-CT",-4.72872987710886,-5.42011067414295,-4.03734908007477,0
"MA-CT",0.238840811613343,-0.414997690744297,0.892679313970984,0.999999856455043
"MD-CT",-1.40201929245681,-2.06325548738854,-0.740783097525089,5.18585174802411e-13
"MI-CT",-2.76139710720047,-3.35791502859079,-2.16487918581015,0
"MN-CT",0.367506658219796,-0.296155785862511,1.0311691023021,0.992322325448825
"MO-CT",-3.14434870745744,-3.80407592503414,-2.48462148988074,0
"MS-CT",-5.07446349021505,-5.85666582088411,-4.292261159546,0
"MT-CT",-1.28258132372008,-2.33681689814652,-0.228345749293638,0.00130104071642223
"NC-CT",-2.70449972882791,-3.32215725313397,-2.08684220452186,0
"ND-CT",-0.704481776209093,-1.87468476300081,0.465721210582629,0.968023288885907
"NE-CT",-1.0744972226102,-1.91254537710483,-0.236449068115581,0.000353850310889636
"NH-CT",-0.145376484337845,-1.16082832292959,0.870075354253902,1
"NJ-CT",-0.510760032835165,-1.13207298569712,0.110552920026792,0.382915887490855
